代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
000001.SH,上证综指,1990-12-19,96.05,100,95.79,100,0.49,126000
000001.SH,上证综指,1990-12-20,104.3,104.39,99.98,104.39,0.09,19700
000001.SH,上证综指,1990-12-21,109.07,109.13,103.73,109.13,0.02,2800
000001.SH,上证综指,1990-12-24,113.57,114.55,109.13,114.55,0.03,3200
000001.SH,上证综指,1990-12-25,120.09,120.25,114.55,120.25,0.01,1500
000001.SH,上证综指,1990-12-26,125.27,125.27,120.25,125.27,0.05,10000
000001.SH,上证综指,1990-12-27,125.27,125.28,125.27,125.28,0.11,6600
000001.SH,上证综指,1990-12-28,126.39,126.45,125.28,126.45,0.09,10800
000001.SH,上证综指,1990-12-31,126.56,127.61,126.48,127.61,0.06,7800
000001.SH,上证综指,1991-01-02,127.61,128.84,127.61,128.84,0.06,9100
000001.SH,上证综指,1991-01-03,128.84,130.14,128.84,130.14,0.09,14100
000001.SH,上证综指,1991-01-04,131.27,131.44,130.14,131.44,0.26,42000
000001.SH,上证综指,1991-01-07,131.99,132.06,131.45,132.06,0.14,21700
000001.SH,上证综指,1991-01-08,132.62,132.68,132.06,132.68,1.81,292600
000001.SH,上证综指,1991-01-09,133.3,133.34,132.68,133.34,3.23,560300
000001.SH,上证综指,1991-01-10,133.93,133.97,133.34,133.97,5.4,999000
000001.SH,上证综指,1991-01-11,134.61,134.61,134.51,134.6,7.12,1332700
000001.SH,上证综指,1991-01-14,134.11,135.19,134.11,134.67,6.88,1253000
000001.SH,上证综指,1991-01-15,134.21,134.74,134.19,134.74,1.01,144600
000001.SH,上证综指,1991-01-16,134.19,134.74,134.14,134.24,0.27,50900
000001.SH,上证综指,1991-01-17,133.67,134.25,133.65,134.25,0.33,65800
000001.SH,上证综指,1991-01-18,133.7,134.25,133.67,134.24,1.57,300400
000001.SH,上证综指,1991-01-21,133.7,134.24,133.66,134.24,1.03,205100
000001.SH,上证综指,1991-01-22,133.72,134.24,133.66,133.72,0.18,35400
000001.SH,上证综指,1991-01-23,133.17,133.72,133.14,133.17,0.58,109500
000001.SH,上证综指,1991-01-24,132.61,133.17,132.57,132.61,0.92,185700
000001.SH,上证综指,1991-01-25,132.05,132.07,132.03,132.05,1.72,344700
000001.SH,上证综指,1991-01-28,131.46,131.55,131.46,131.46,2.57,510700
000001.SH,上证综指,1991-01-29,130.95,130.97,130.95,130.95,0.71,138700
000001.SH,上证综指,1991-01-30,130.44,130.95,130.41,130.44,0.26,52700
000001.SH,上证综指,1991-01-31,129.93,130.46,129.93,129.97,0.25,51000
000001.SH,上证综指,1991-02-01,129.5,129.97,129.45,129.51,0.14,34500
000001.SH,上证综指,1991-02-04,129.05,129.58,129.05,129.05,0.27,55300
000001.SH,上证综指,1991-02-05,128.56,128.58,128.53,128.58,4.25,856200
000001.SH,上证综指,1991-02-06,129.13,129.15,128.06,129.14,3.85,664100
000001.SH,上证综指,1991-02-07,129.74,129.79,129.14,129.79,1.51,213300
000001.SH,上证综指,1991-02-08,130.36,130.39,129.79,130.38,0.88,123400
000001.SH,上证综指,1991-02-11,130.92,130.97,130.39,130.97,4.84,931700
000001.SH,上证综指,1991-02-12,131.54,131.56,130.97,131.35,1.99,377400
000001.SH,上证综指,1991-02-13,131.93,131.93,131.35,131.92,0.67,115200
000001.SH,上证综指,1991-02-14,132.53,132.53,132.3,132.53,1.88,362400
000001.SH,上证综指,1991-02-19,133.12,133.14,133.08,133.13,1.22,174800
000001.SH,上证综指,1991-02-20,133.63,133.67,133.13,133.67,0.52,87600
000001.SH,上证综指,1991-02-21,134.24,134.28,133.67,134.28,1.77,322000
000001.SH,上证综指,1991-02-22,134.85,134.87,134.28,134.87,2,342700
000001.SH,上证综指,1991-02-25,134.37,134.87,134.33,134.4,0.62,81000
000001.SH,上证综指,1991-02-26,133.9,134.44,133.9,133.93,2.55,109400
000001.SH,上证综指,1991-02-27,133.44,133.98,133.44,133.47,0.14,21400
000001.SH,上证综指,1991-02-28,132.99,133.52,132.98,133.01,1.19,225800
000001.SH,上证综指,1991-03-01,132.53,132.53,132.47,132.53,3.78,712400
000001.SH,上证综指,1991-03-04,132.09,132.09,131.98,131.99,1.42,251800
000001.SH,上证综指,1991-03-05,131.42,131.99,131.41,131.46,0.94,98200
000001.SH,上证综指,1991-03-06,130.89,130.95,130.89,130.94,1.35,71900
000001.SH,上证综指,1991-03-07,130.41,130.94,130.41,130.41,0.43,56800
000001.SH,上证综指,1991-03-08,129.84,130.41,129.84,129.89,0.54,93300
000001.SH,上证综指,1991-03-11,129.3,129.89,129.3,129.31,0.3,51400
000001.SH,上证综指,1991-03-12,128.73,129.31,128.73,128.77,0.78,95700
000001.SH,上证综指,1991-03-13,126.13,128.77,126.13,126.15,0.42,49800
000001.SH,上证综指,1991-03-14,125.61,126.15,125.61,125.63,0.24,32600
000001.SH,上证综指,1991-03-15,125.08,125.62,125.08,125.17,0.4,79000
000001.SH,上证综指,1991-03-18,124.7,125.17,124.69,124.71,1.21,125000
000001.SH,上证综指,1991-03-19,124.23,124.71,124.22,124.22,0.68,89200
000001.SH,上证综指,1991-03-20,123.66,124.21,123.63,123.66,0.43,67800
000001.SH,上证综指,1991-03-21,123.14,123.66,123.12,123.12,0.13,15100
000001.SH,上证综指,1991-03-22,122.62,123.12,122.62,122.62,0.12,20700
000001.SH,上证综指,1991-03-25,122.12,122.62,122.1,122.12,0.32,44300
000001.SH,上证综指,1991-03-26,121.62,122.14,121.62,121.62,0.71,116400
000001.SH,上证综指,1991-03-27,121.12,121.64,121.12,121.12,0.37,66800
000001.SH,上证综指,1991-03-28,120.65,121.15,120.61,120.61,0.51,96100
000001.SH,上证综指,1991-03-29,120.16,120.61,120.11,120.19,2.19,218500
000001.SH,上证综指,1991-04-01,120.69,120.73,119.68,120.73,5.67,1199900
000001.SH,上证综指,1991-04-02,121.21,121.29,120.73,121.21,0.39,81600
000001.SH,上证综指,1991-04-03,121.71,121.71,121.21,121.71,0.98,206300
000001.SH,上证综指,1991-04-04,122.2,122.2,121.24,121.72,5.05,1051700
000001.SH,上证综指,1991-04-05,121.07,121.73,121.03,121.54,6.04,1158900
000001.SH,上证综指,1991-04-08,121.11,121.11,121.05,121.09,1.68,186200
000001.SH,上证综指,1991-04-09,120.6,121.1,120.6,120.62,0.3,32000
000001.SH,上证综指,1991-04-10,120.15,120.62,120.09,120.16,0.28,46600
000001.SH,上证综指,1991-04-11,119.64,120.16,119.62,119.64,0.58,23900
000001.SH,上证综指,1991-04-12,119.2,119.65,119.15,119.21,0.3,39900
000001.SH,上证综指,1991-04-15,118.73,119.22,118.72,118.77,0.39,30100
000001.SH,上证综指,1991-04-16,118.36,118.77,118.34,118.34,0.18,10500
000001.SH,上证综指,1991-04-17,117.92,118.34,117.89,117.9,0.26,20100
000001.SH,上证综指,1991-04-18,117.45,117.93,117.45,117.45,0.13,17800
000001.SH,上证综指,1991-04-19,117.08,117.5,117.05,117.08,0.43,64600
000001.SH,上证综指,1991-04-22,116.63,117.08,116.58,116.63,0.32,43000
000001.SH,上证综指,1991-04-23,116.21,116.63,116.15,116.19,0.26,28200
000001.SH,上证综指,1991-04-24,115.7,116.19,115.7,115.79,0.12,14800
000001.SH,上证综指,1991-04-25,115.38,115.79,115.33,115.36,1,149500
000001.SH,上证综指,1991-04-26,116.31,116.31,114.52,115.56,5.81,1335400
000001.SH,上证综指,1991-04-29,114.86,116.29,114.75,114.75,3.61,841100
000001.SH,上证综指,1991-04-30,113.89,114.87,113.89,113.94,2.73,485000
000001.SH,上证综指,1991-05-02,113.04,113.2,113.03,113.16,1.12,146500
000001.SH,上证综指,1991-05-03,112.46,113.17,112.3,112.41,2.39,423000
000001.SH,上证综指,1991-05-06,111.65,112.41,111.57,111.61,1.42,276400
000001.SH,上证综指,1991-05-07,110.8,110.9,110.8,110.82,0.91,187500
000001.SH,上证综指,1991-05-08,110.16,110.82,110,110.03,0.38,42300
000001.SH,上证综指,1991-05-09,109.36,110.12,109.29,109.29,1.22,226600
000001.SH,上证综指,1991-05-10,108.61,109.4,108.53,108.53,0.31,24900
000001.SH,上证综指,1991-05-13,107.88,107.88,107.74,107.84,0.18,23500
000001.SH,上证综指,1991-05-14,107.21,107.84,107.06,107.19,0.19,26700
000001.SH,上证综指,1991-05-15,106.56,106.6,106.42,106.57,0.31,39000
000001.SH,上证综指,1991-05-16,105.83,105.86,105.69,105.77,1.45,310800
000001.SH,上证综指,1991-05-17,105.12,106.75,104.96,106.75,7.63,2019200
000001.SH,上证综指,1991-05-20,107.76,107.82,106.71,107.82,0.92,86300
000001.SH,上证综指,1991-05-21,108.89,108.89,108.62,108.81,1.31,77100
000001.SH,上证综指,1991-05-22,109.71,109.82,108.11,108.25,7.97,1867700
000001.SH,上证综指,1991-05-23,107.52,109.16,107.35,109.08,2.77,560900
000001.SH,上证综指,1991-05-24,110.07,110.08,109.82,110.08,0.66,102400
000001.SH,上证综指,1991-05-27,111.05,111.07,109.47,110.66,3.83,861900
000001.SH,上证综指,1991-05-28,111.61,111.68,111.36,111.68,0.97,163000
000001.SH,上证综指,1991-05-29,112.75,112.75,111.67,112.75,1.32,53000
000001.SH,上证综指,1991-05-30,113.74,113.82,112.77,113.82,0.75,38800
000001.SH,上证综指,1991-05-31,114.83,114.83,113.84,114.83,1.47,121100
000001.SH,上证综指,1991-06-03,115.9,115.97,114.89,115.97,1.64,95400
000001.SH,上证综指,1991-06-04,117.12,117.12,116.83,117.12,2.02,360300
000001.SH,上证综指,1991-06-05,118.17,118.17,117.14,118.17,0.28,30800
000001.SH,上证综指,1991-06-06,119.26,119.35,118.17,119.35,0.16,26600
000001.SH,上证综指,1991-06-07,120.46,120.47,119.35,120.47,0.08,10000
000001.SH,上证综指,1991-06-10,121.65,121.67,120.47,121.67,0.46,40000
000001.SH,上证综指,1991-06-11,122.89,122.89,121.67,122.89,0.38,54300
000001.SH,上证综指,1991-06-12,123.9,124.11,122.89,124.11,0.74,137200
000001.SH,上证综指,1991-06-13,125.33,125.34,123.65,125.34,11.56,2086800
000001.SH,上证综指,1991-06-14,124.47,126.34,124.47,124.53,3.54,663300
000001.SH,上证综指,1991-06-17,125.63,125.77,123.54,125.77,4.06,693300
000001.SH,上证综指,1991-06-18,127.03,127.03,126.67,127.03,1.02,203000
000001.SH,上证综指,1991-06-19,128.12,128.29,127.03,128.29,0.74,148100
000001.SH,上证综指,1991-06-20,129.55,129.57,129.21,129.57,1.32,229900
000001.SH,上证综指,1991-06-21,130.72,130.86,128.81,130.86,7.75,1361300
000001.SH,上证综指,1991-06-24,132.1,132.17,131.8,132.17,1.66,196000
000001.SH,上证综指,1991-06-25,133.48,133.49,132.17,133.49,1.3,162400
000001.SH,上证综指,1991-06-26,134.83,134.83,133.49,134.83,2.15,340900
000001.SH,上证综指,1991-06-27,136.04,136.19,134.83,136.19,2.52,449700
000001.SH,上证综指,1991-06-28,137.41,137.56,136.19,137.56,3.03,493500
000001.SH,上证综指,1991-07-01,136.64,138.62,136.56,136.85,12.47,2294000
000001.SH,上证综指,1991-07-02,135.91,135.96,135.69,135.96,3.79,283800
000001.SH,上证综指,1991-07-03,135.28,135.96,134.98,135.27,1.82,271500
000001.SH,上证综指,1991-07-04,136.63,136.63,134.19,136.63,8.1,1339400
000001.SH,上证综指,1991-07-05,136.01,137.68,135.9,135.96,9.4,1454000
000001.SH,上证综指,1991-07-08,135.26,135.28,134.93,135.28,2.93,587400
000001.SH,上证综指,1991-07-09,136.56,136.57,134.31,134.64,4.18,844200
000001.SH,上证综指,1991-07-10,134.4,135.6,133.72,133.99,2.9,602300
000001.SH,上证综指,1991-07-11,133.22,133.99,133.13,133.38,2.42,507300
000001.SH,上证综指,1991-07-12,132.8,133.38,132.42,132.8,1.48,314400
000001.SH,上证综指,1991-07-15,133.9,134.1,131.87,133.14,5.54,1193800
000001.SH,上证综指,1991-07-16,134.39,134.47,133.14,134.47,1.33,279600
000001.SH,上证综指,1991-07-17,135.81,135.81,135.39,135.81,0.4,66000
000001.SH,上证综指,1991-07-18,137.17,137.17,135.81,137.17,0.46,84700
000001.SH,上证综指,1991-07-19,137.66,138.54,136.66,136.7,5.24,1082300
000001.SH,上证综指,1991-07-22,138.07,138.07,136.7,138.07,1.42,276400
000001.SH,上证综指,1991-07-23,139.35,139.39,138.07,139.39,3.55,724100
000001.SH,上证综指,1991-07-24,140.66,140.74,138.69,140.68,2.9,598800
000001.SH,上证综指,1991-07-25,140.2,141.01,139.99,140.19,4.08,839000
000001.SH,上证综指,1991-07-26,140.11,141.46,139.27,140.66,4.52,927900
000001.SH,上证综指,1991-07-29,141.22,141.72,140.81,141.52,2.35,477100
000001.SH,上证综指,1991-07-30,142.39,142.45,141.39,142.39,2.72,560100
000001.SH,上证综指,1991-07-31,143.72,143.8,142.39,143.8,1.99,405100
000001.SH,上证综指,1991-08-01,145.12,145.24,143.8,145.24,2.31,473100
000001.SH,上证综指,1991-08-02,146.49,146.68,145.44,146.68,5.83,1174400
000001.SH,上证综指,1991-08-05,148.06,148.15,146.68,148.15,2.59,512600
000001.SH,上证综指,1991-08-06,149.62,149.62,148.15,149.62,1.07,200100
000001.SH,上证综指,1991-08-07,150.93,151.12,149.62,151.12,0.58,110700
000001.SH,上证综指,1991-08-08,152.57,152.61,151.12,152.61,1.05,195100
000001.SH,上证综指,1991-08-09,153.9,154.1,152.61,154.1,1.99,371500
000001.SH,上证综指,1991-08-12,155.34,155.54,154.1,155.54,2.15,391900
000001.SH,上证综指,1991-08-13,156.87,157.07,155.54,157.07,10.53,2003900
000001.SH,上证综指,1991-08-14,158.3,158.63,158.11,158.63,2.93,548000
000001.SH,上证综指,1991-08-15,159.92,160.21,158.63,160.21,0.85,153700
000001.SH,上证综指,1991-08-16,161.56,161.6,160.21,161.6,0.58,98400
000001.SH,上证综指,1991-08-19,163.21,163.21,161.6,163.21,0.62,98500
000001.SH,上证综指,1991-08-20,164.74,164.84,163.21,164.84,0.39,57300
000001.SH,上证综指,1991-08-21,166.49,166.49,164.84,166.49,2.11,341100
000001.SH,上证综指,1991-08-22,167.81,168.16,166.49,168.16,0.85,129600
000001.SH,上证综指,1991-08-23,169.81,169.81,168.16,169.81,0.5,60500
000001.SH,上证综指,1991-08-26,171.51,171.51,169.81,171.51,0.52,64300
000001.SH,上证综指,1991-08-27,173.06,173.19,171.51,173.19,0.52,79600
000001.SH,上证综指,1991-08-28,174.82,174.92,173.19,174.92,0.51,80400
000001.SH,上证综指,1991-08-29,176.53,176.66,174.92,176.66,1.63,260800
000001.SH,上证综指,1991-08-30,178.2,178.43,176.66,178.43,4.22,675900
000001.SH,上证综指,1991-09-02,180.08,180.22,178.43,180.22,0.89,140800
000001.SH,上证综指,1991-09-03,181.71,181.97,180.22,181.97,0.94,147500
000001.SH,上证综指,1991-09-04,183.66,183.69,181.97,183.69,0.47,65000
000001.SH,上证综指,1991-09-05,185.48,185.51,183.69,185.51,1.1,151400
000001.SH,上证综指,1991-09-06,187.09,187.36,185.51,187.36,1.76,276500
000001.SH,上证综指,1991-09-09,189.1,189.24,187.36,189.24,2.35,355200
000001.SH,上证综指,1991-09-10,190.98,190.98,188.19,188.33,21.51,3343400
000001.SH,上证综指,1991-09-11,187.29,187.29,186.86,187.22,14.68,2139200
000001.SH,上证综指,1991-09-12,186.22,187.4,186.07,186.22,16.27,1969900
000001.SH,上证综指,1991-09-13,188,188.04,185.01,187.79,24.04,3743400
000001.SH,上证综指,1991-09-16,189.55,189.66,187.79,189.66,6.34,993300
000001.SH,上证综指,1991-09-17,191.16,191.18,188.28,188.65,18.62,2882900
000001.SH,上证综指,1991-09-18,187.26,188.59,187.18,187.63,11.02,1582200
000001.SH,上证综指,1991-09-19,187.65,189.21,186.49,186.88,14.61,2343900
000001.SH,上证综指,1991-09-20,185.77,187.21,185.66,185.92,7.42,1207500
000001.SH,上证综指,1991-09-23,185,185.92,184.71,185,2.81,403400
000001.SH,上证综指,1991-09-24,183.96,185.04,183.69,184.08,1,142600
000001.SH,上证综指,1991-09-25,182.8,184.08,182.8,183.19,0.93,138900
000001.SH,上证综指,1991-09-26,182.21,183.19,181.93,182.33,4.62,654100
000001.SH,上证综指,1991-09-27,183.12,183.89,181.19,181.82,20.42,3372800
000001.SH,上证综指,1991-09-30,180.28,181.95,180.27,180.92,22.34,2559400
000001.SH,上证综指,1991-10-03,181.55,182.48,179.8,182.48,12.33,1874100
000001.SH,上证综指,1991-10-04,184.29,184.29,183.59,184.29,5.04,736000
000001.SH,上证综指,1991-10-07,185.95,186,185.41,186,7.29,1136900
000001.SH,上证综指,1991-10-08,187.59,187.61,186,187.49,15.24,2374500
000001.SH,上证综指,1991-10-09,188.49,189.12,186.31,189.12,13.44,2098900
000001.SH,上证综指,1991-10-10,190.71,191.01,189.12,191.01,4.33,663800
000001.SH,上证综指,1991-10-11,192.84,192.88,191.01,192.85,7.25,1098100
000001.SH,上证综指,1991-10-14,194.06,194.69,192.32,194.67,13.95,2149300
000001.SH,上证综指,1991-10-15,196.58,196.61,194.67,196.61,7.27,1100200
000001.SH,上证综指,1991-10-16,198.51,198.57,196.61,198.57,6.27,956200
000001.SH,上证综指,1991-10-17,200.5,200.51,198.57,200.51,4.14,607700
000001.SH,上证综指,1991-10-18,202.5,202.51,200.51,202.51,2.38,296800
000001.SH,上证综指,1991-10-21,204.53,204.53,202.51,204.53,2.51,353700
000001.SH,上证综指,1991-10-22,206.06,206.53,204.53,206.53,1.52,212800
000001.SH,上证综指,1991-10-23,208.06,208.25,206.53,208.25,1.98,262300
000001.SH,上证综指,1991-10-24,210.2,210.2,208.25,210.07,13.17,1935700
000001.SH,上证综指,1991-10-25,210.34,211.97,209.71,211.86,22.26,3265000
000001.SH,上证综指,1991-10-28,213.5,213.98,211.86,213.98,2.36,321700
000001.SH,上证综指,1991-10-29,215.63,215.78,213.98,215.78,2.07,269700
000001.SH,上证综指,1991-10-30,216.37,216.43,215.78,216.43,1.81,238000
000001.SH,上证综指,1991-10-31,218.59,218.6,216.43,218.6,2.92,392900
000001.SH,上证综指,1991-11-01,220.71,220.72,218.6,220.72,4.31,590600
000001.SH,上证综指,1991-11-04,222.77,222.77,220.79,222.77,3.35,447400
000001.SH,上证综指,1991-11-05,224.44,224.65,222.77,224.65,2.23,280500
000001.SH,上证综指,1991-11-06,226.83,226.88,224.65,226.88,2.19,284800
000001.SH,上证综指,1991-11-07,228.93,228.93,226.88,228.93,4.09,483300
000001.SH,上证综指,1991-11-08,230.99,231.22,228.93,231.22,11.04,1440600
000001.SH,上证综指,1991-11-11,233.48,233.55,231.22,233.55,2.13,247400
000001.SH,上证综指,1991-11-12,235.75,235.8,233.55,235.8,0.91,89500
000001.SH,上证综指,1991-11-13,236.51,236.67,235.8,236.67,0.88,79900
000001.SH,上证综指,1991-11-14,237.39,237.45,236.67,237.45,0.94,86200
000001.SH,上证综指,1991-11-15,238.25,238.25,237.45,238.25,1.92,205800
000001.SH,上证综指,1991-11-18,240.04,240.62,238.25,240.62,1.53,188500
000001.SH,上证综指,1991-11-19,242.24,242.24,240.62,242.24,2.04,231000
000001.SH,上证综指,1991-11-20,244.5,244.5,242.24,244.5,1.93,232500
000001.SH,上证综指,1991-11-21,246.26,246.31,244.5,246.31,2.03,215500
000001.SH,上证综指,1991-11-22,248.24,248.53,246.31,248.53,1.96,213300
000001.SH,上证综指,1991-11-25,250.84,250.85,248.53,250.85,1.96,233100
000001.SH,上证综指,1991-11-26,252.9,252.97,250.85,252.97,2.33,245400
000001.SH,上证综指,1991-11-27,255.27,255.45,252.97,255.45,1.76,212000
000001.SH,上证综指,1991-11-28,257.28,257.35,255.45,257.35,2.25,250200
000001.SH,上证综指,1991-11-29,259.68,259.85,257.35,259.6,28.45,3369500
000001.SH,上证综指,1991-12-02,261.78,262.19,259.67,262.19,16.31,1912800
000001.SH,上证综指,1991-12-03,264.64,264.81,262.19,264.81,1.21,110100
000001.SH,上证综指,1991-12-04,265.53,265.77,264.81,265.77,0.9,74200
000001.SH,上证综指,1991-12-05,266.48,266.66,265.77,266.66,2.1,205000
000001.SH,上证综指,1991-12-06,269.34,269.35,266.66,269.35,1.8,161300
000001.SH,上证综指,1991-12-09,270.27,270.27,269.35,270.27,1.65,163100
000001.SH,上证综指,1991-12-10,270.27,272.91,270.27,272.91,0.67,51600
000001.SH,上证综指,1991-12-11,273.53,273.71,272.91,273.71,0.86,66900
000001.SH,上证综指,1991-12-12,274.41,274.41,273.71,274.41,1.64,157700
000001.SH,上证综指,1991-12-13,276.81,277,274.41,277,0.96,74600
000001.SH,上证综指,1991-12-16,277.53,277.85,277,277.85,0.82,58000
000001.SH,上证综指,1991-12-17,278.67,278.68,277.85,278.68,0.76,49300
000001.SH,上证综指,1991-12-18,279.32,279.51,278.68,279.51,0.89,76000
000001.SH,上证综指,1991-12-19,279.98,280.17,279.51,280.17,1.24,109400
000001.SH,上证综指,1991-12-20,282.83,282.83,280.63,282.83,6.27,439300
000001.SH,上证综指,1991-12-23,285.65,285.65,282.83,285.65,1.18,104600
000001.SH,上证综指,1991-12-24,285.74,286.22,285.65,286.22,0.59,48600
000001.SH,上证综指,1991-12-25,287.09,287.15,286.22,287.15,0.87,57300
000001.SH,上证综指,1991-12-26,288.03,288.03,287.15,288.03,1.42,116800
000001.SH,上证综指,1991-12-27,290.65,290.85,288.03,290.85,1.79,155100
000001.SH,上证综指,1991-12-30,291.71,291.71,290.85,291.71,1.88,116500
000001.SH,上证综指,1991-12-31,292.48,292.75,291.71,292.75,0.86,58400
000001.SH,上证综指,1992-01-02,293.74,293.75,292.76,293.75,1.34,92800
000001.SH,上证综指,1992-01-03,296.24,296.52,293.75,296.52,1.84,143600
000001.SH,上证综指,1992-01-06,297.68,297.68,296.52,297.68,4.24,340000
000001.SH,上证综指,1992-01-07,298.54,298.77,297.68,298.77,1.06,89200
000001.SH,上证综指,1992-01-08,299.65,299.66,298.77,299.66,0.93,65900
000001.SH,上证综指,1992-01-09,300.61,300.62,299.66,300.62,1.25,94300
000001.SH,上证综指,1992-01-10,301.82,301.83,300.62,301.83,2.63,160500
000001.SH,上证综指,1992-01-13,302.83,303.06,302,303.06,1.1,72500
000001.SH,上证综指,1992-01-14,304.77,305.74,303.06,305.74,0.86,63200
000001.SH,上证综指,1992-01-15,306.62,306.63,305.74,306.63,0.32,25900
000001.SH,上证综指,1992-01-16,306.85,306.85,306.63,306.85,0.49,37800
000001.SH,上证综指,1992-01-17,307.37,307.38,306.85,307.38,0.32,25000
000001.SH,上证综指,1992-01-20,307.38,307.39,307.38,307.39,0.5,44500
000001.SH,上证综指,1992-01-21,307.87,307.87,307.39,307.87,0.65,53400
000001.SH,上证综指,1992-01-22,307.95,307.95,307.87,307.95,0.44,31200
000001.SH,上证综指,1992-01-23,308.53,308.53,307.95,308.53,0.58,41300
000001.SH,上证综指,1992-01-24,309.05,309.05,308.53,309.05,1,72200
000001.SH,上证综指,1992-01-27,311.6,311.61,309.05,311.61,0.75,56200
000001.SH,上证综指,1992-01-28,311.67,311.84,311.61,311.84,0.82,66400
000001.SH,上证综指,1992-01-29,312.41,312.58,311.84,312.42,0.45,40100
000001.SH,上证综指,1992-01-30,312.73,312.73,312.42,312.73,0.54,39100
000001.SH,上证综指,1992-01-31,313.24,313.24,312.73,313.24,0.59,35400
000001.SH,上证综指,1992-02-03,314.18,314.18,313.24,314.18,0.58,30500
000001.SH,上证综指,1992-02-07,314.72,314.72,314.18,314.72,0.53,32700
000001.SH,上证综指,1992-02-10,315.55,315.56,314.72,315.56,0.59,35400
000001.SH,上证综指,1992-02-11,316.12,316.43,315.56,316.43,0.46,29600
000001.SH,上证综指,1992-02-12,316.43,316.44,316.43,316.44,0.4,27000
000001.SH,上证综指,1992-02-13,317.24,317.57,317.04,317.04,1.69,102000
000001.SH,上证综指,1992-02-14,319.45,319.68,317.04,319.68,0.77,45700
000001.SH,上证综指,1992-02-17,319.77,319.77,319.68,319.77,13.78,636900
000001.SH,上证综指,1992-02-18,338.98,339.16,319.77,337.11,12.66,740700
000001.SH,上证综指,1992-02-19,340.5,342.41,337.11,342.41,16.5,940100
000001.SH,上证综指,1992-02-20,345.22,348.01,342.41,347.99,20.01,1034100
000001.SH,上证综指,1992-02-21,358.91,359.93,347.99,359.59,19.25,1158200
000001.SH,上证综指,1992-02-24,361.11,361.62,359.59,360.5,18.04,3015700
000001.SH,上证综指,1992-02-25,359.66,361.29,357.07,360.37,8.04,486200
000001.SH,上证综指,1992-02-26,359.85,360.76,359.27,360.1,8.08,575300
000001.SH,上证综指,1992-02-27,361,363.03,360.1,362.45,17.93,952400
000001.SH,上证综指,1992-02-28,364.15,364.67,362.45,364.66,26.4,986200
000001.SH,上证综指,1992-03-02,365.15,365.39,364.66,365.39,5.64,340500
000001.SH,上证综指,1992-03-03,366.79,367.25,365.39,367,3.37,298900
000001.SH,上证综指,1992-03-04,367.56,368.32,366.95,368.32,10.37,561400
000001.SH,上证综指,1992-03-05,369.31,369.88,368.11,369.76,14.93,836000
000001.SH,上证综指,1992-03-06,370.79,371.76,369.76,371.76,9.96,523700
000001.SH,上证综指,1992-03-09,372.26,374.06,371.88,373.53,22.27,2096800
000001.SH,上证综指,1992-03-10,374.48,375.23,373.53,375.23,7.45,501100
000001.SH,上证综指,1992-03-11,375.87,376.25,374.98,376.14,11.24,400100
000001.SH,上证综指,1992-03-12,377.55,377.57,376.14,376.92,31.59,1032600
000001.SH,上证综指,1992-03-13,376.58,377.19,376.38,376.38,4.49,252700
000001.SH,上证综指,1992-03-16,377,377.42,376.38,377.05,2.27,264600
000001.SH,上证综指,1992-03-17,377.5,377.84,377.03,377.49,1.34,89000
000001.SH,上证综指,1992-03-18,377.94,378.32,377.49,377.66,2.25,402800
000001.SH,上证综指,1992-03-19,377.26,377.96,376.21,377.31,35.11,1362800
000001.SH,上证综指,1992-03-20,377.91,378.03,377.31,377.99,7.85,316000
000001.SH,上证综指,1992-03-23,378.61,379.04,377.45,378.89,24.38,1029000
000001.SH,上证综指,1992-03-24,378.53,379.5,378.05,378.69,7.02,437800
000001.SH,上证综指,1992-03-25,378.33,379.02,378.12,378.12,21.45,1182000
000001.SH,上证综指,1992-03-26,379.29,379.34,377.64,379.13,24.18,1022500
000001.SH,上证综指,1992-03-27,379.65,380.79,379.13,380.77,5.47,189200
000001.SH,上证综指,1992-03-30,381.54,381.56,380.76,381.44,40.36,1265500
000001.SH,上证综指,1992-03-31,381.87,382.06,381.24,381.24,53.85,1739100
000001.SH,上证综指,1992-04-01,381.55,381.85,381.01,381.01,7.77,406500
000001.SH,上证综指,1992-04-02,381.47,381.58,381.01,381.12,3.19,167300
000001.SH,上证综指,1992-04-03,381.44,381.57,381.12,381.33,3.38,170000
000001.SH,上证综指,1992-04-06,381.97,382.08,381.33,381.47,14.54,529800
000001.SH,上证综指,1992-04-07,381.95,382.1,381.47,381.93,30.27,1061300
000001.SH,上证综指,1992-04-08,382.53,382.59,381.92,382.43,5.28,186600
000001.SH,上证综指,1992-04-09,381.93,382.88,381.65,381.65,7.15,316800
000001.SH,上证综指,1992-04-10,381.52,382.04,381.2,382.03,13.5,706600
000001.SH,上证综指,1992-04-13,387.27,392.28,382.03,391.11,52.44,2059300
000001.SH,上证综指,1992-04-14,393.1,400.61,391.1,400.61,25.19,941500
000001.SH,上证综指,1992-04-15,400.35,406.72,398.23,406.72,25.16,1056600
000001.SH,上证综指,1992-04-16,404.07,410.61,403.52,410.55,57.47,3921100
000001.SH,上证综指,1992-04-17,408.56,414.42,406.19,414.42,45.1,1567800
000001.SH,上证综指,1992-04-20,417.19,420.99,413.64,413.85,23.21,1017000
